request_idx,bandit_reward_mean,bandit_reward_std,oracle_reward
0,0.9900000000000003,3.3306690738754696e-16,0.99
1,0.9900000000000003,3.3306690738754696e-16,0.99
2,0.9900000000000003,3.3306690738754696e-16,0.99
3,0.9900000000000003,3.3306690738754696e-16,0.99
4,0.9900000000000003,3.3306690738754696e-16,0.99
5,0.9900000000000003,3.3306690738754696e-16,0.99
6,0.9900000000000003,3.3306690738754696e-16,0.99
7,0.9900000000000003,3.3306690738754696e-16,0.99
8,0.9900000000000003,3.3306690738754696e-16,0.99
9,0.9900000000000003,3.3306690738754696e-16,0.99
10,0.9900000000000003,3.3306690738754696e-16,0.99
11,0.9900000000000003,3.3306690738754696e-16,0.99
12,0.9900000000000003,3.3306690738754696e-16,0.99
13,0.9900000000000003,3.3306690738754696e-16,0.99
14,0.9900000000000003,3.3306690738754696e-16,0.99
15,0.9900000000000003,3.3306690738754696e-16,0.99
16,0.9900000000000003,3.3306690738754696e-16,0.99
17,0.9900000000000003,3.3306690738754696e-16,0.99
18,0.9900000000000003,3.3306690738754696e-16,0.99
19,0.9900000000000003,3.3306690738754696e-16,0.99
20,0.9629411764705886,2.220446049250313e-16,0.99
21,0.9640023068050754,3.3306690738754696e-16,0.99
22,0.9650218241852685,3.3306690738754696e-16,0.99
23,0.9660013604917286,3.3306690738754696e-16,0.99
24,0.9438052287077392,1.6653345369377348e-16,0.9825490196078431
25,0.9456167883662593,3.3306690738754696e-16,0.9828412149173396
26,0.9473573064695433,3.3306690738754696e-16,0.9831219515872478
27,0.9490295689609338,3.3306690738754696e-16,0.9833916789759832
28,0.9506362525310933,3.3306690738754696e-16,0.9836508288200624
29,0.952179928902423,3.3306690738754696e-16,0.983899815925158
30,0.9520944414944849,7.771561172376096e-16,0.9841390388300537
31,0.9535809339848973,3.3306690738754696e-16,0.9843688804445614
32,0.9550091326521563,3.3306690738754696e-16,0.9845897086624218
33,0.9293224999991305,2.220446049250313e-16,0.98480187695017
34,0.9317020098030863,3.3306690738754696e-16,0.9850057249129084
35,0.9108509505951221,1.6653345369377348e-16,0.9777505984457355
36,0.9139548348855095,3.3306690738754696e-16,0.978230967134138
37,0.9169369982233327,3.3306690738754696e-16,0.9786924978347601
38,0.8813708414302609,5.204170427930421e-18,0.9791359292922205
39,0.8856308084329958,3.3306690738754696e-16,0.9795619712807608
40,0.8512923453571921,5.204170427930421e-18,0.9799713057403389
41,0.8567318612255376,3.3306690738754696e-16,0.9803645878681687
42,0.8619580627461048,3.3306690738754696e-16,0.9807424471674563
